"zone_id","datum","uur","max_availability","avg_availability"
51931,2024-08-05,0,1,1
51931,2024-08-05,1,1,1
51931,2024-08-05,2,1,1
51931,2024-08-05,3,1,1
51931,2024-08-05,4,1,1
51931,2024-08-05,5,1,1
51931,2024-08-05,6,1,1
51931,2024-08-05,7,1,1
51931,2024-08-05,8,1,1
51931,2024-08-05,9,1,1
51931,2024-08-05,10,1,1
51931,2024-08-05,11,1,1
51931,2024-08-05,12,1,1
51931,2024-08-05,13,1,1
51931,2024-08-05,14,1,1
51931,2024-08-05,15,1,1
51931,2024-08-05,16,1,1
51931,2024-08-05,17,1,1
51931,2024-08-05,18,1,1
51931,2024-08-05,19,1,1
51931,2024-08-05,20,1,1
51931,2024-08-05,21,1,1
51931,2024-08-05,22,1,1
51931,2024-08-05,23,1,1
51931,2024-08-06,0,1,1
51931,2024-08-06,1,1,1
51931,2024-08-06,2,1,1
51931,2024-08-06,3,1,1
51931,2024-08-06,4,1,1
51931,2024-08-06,5,1,1
51931,2024-08-06,6,1,1
51931,2024-08-06,7,1,1
51931,2024-08-06,8,1,1
51931,2024-08-06,9,1,1
51931,2024-08-06,10,1,1
51931,2024-08-06,11,1,1
51931,2024-08-06,12,1,1
51931,2024-08-06,13,1,1
51931,2024-08-06,14,1,1
51931,2024-08-06,15,1,1
51931,2024-08-06,16,1,1
51931,2024-08-06,17,1,1
51931,2024-08-06,18,1,1
51931,2024-08-06,19,2,2
51931,2024-08-06,20,2,2
51931,2024-08-06,21,2,2
51931,2024-08-06,22,2,2
51931,2024-08-06,23,2,2
51931,2024-08-07,0,2,2
51931,2024-08-07,1,2,2
51931,2024-08-07,2,2,2
51931,2024-08-07,3,2,2
51931,2024-08-07,4,2,2
51931,2024-08-07,5,2,2
51931,2024-08-07,6,2,2
51931,2024-08-07,7,2,2
51931,2024-08-07,8,2,2
51931,2024-08-07,9,2,2
51931,2024-08-07,10,2,2
51931,2024-08-07,11,2,2
51931,2024-08-07,12,2,2
51931,2024-08-07,13,2,2
51931,2024-08-07,14,2,2
51931,2024-08-07,15,2,2
51931,2024-08-07,16,2,2
51931,2024-08-07,17,2,2
51931,2024-08-07,18,2,2
51931,2024-08-07,19,2,2
51931,2024-08-07,20,2,2
51931,2024-08-07,21,2,2
51931,2024-08-07,22,2,2
51931,2024-08-07,23,2,2
51931,2024-08-08,0,2,2
51931,2024-08-08,1,2,2
51931,2024-08-08,2,2,2
51931,2024-08-08,3,2,2
51931,2024-08-08,4,2,2
51931,2024-08-08,5,2,2
51931,2024-08-08,6,2,2
51931,2024-08-08,7,2,2
51931,2024-08-08,8,2,2
51931,2024-08-08,9,2,2
51931,2024-08-08,10,2,2
51931,2024-08-08,11,2,2
51931,2024-08-08,12,2,2
51931,2024-08-08,13,2,2
51931,2024-08-08,14,2,2
51931,2024-08-08,15,2,2
51931,2024-08-08,16,2,2
51931,2024-08-08,17,2,2
51931,2024-08-08,18,2,2
51931,2024-08-08,19,2,2
51931,2024-08-08,20,2,2
