name,WKT
Hub Weena,"POLYGON((4.469607662 51.922853826, 4.469650726 51.922771495, 4.468739394 51.922613669, 4.468711932 51.922673228, 4.469607662 51.922853826))"
RK Van der Takstraat ,"POLYGON((4.496148886 51.914194102, 4.496046962 51.914262763, 4.496013434 51.914244564, 4.496115358 51.914176729, 4.496148886 51.914194102))"
BH Metro Oostplein,"POLYGON((4.497641682 51.922695985, 4.49756524 51.922673654, 4.497574627 51.922659593, 4.497652411 51.922681925, 4.497641682 51.922695985))"
BH Stadion Fey (Bert Heesakkerstr.),"POLYGON((4.521757915 51.896945165, 4.521853866 51.89692781, 4.521711594 51.896666472, 4.521617297 51.896685868, 4.521757915 51.896945165))"
BH Prinsenlaan,"POLYGON((4.536191959 51.937229608, 4.536201346 51.93720811, 4.536063213 51.937183305, 4.536053825 51.937204803, 4.536191959 51.937229608))"
RK P+R Noorderhelling,"POLYGON((4.532131424 51.894701428, 4.532075098 51.894813983, 4.532115331 51.894820604, 4.532170317 51.894707222, 4.532131424 51.894701428))"
BH Metrostation Hesseplaats,"POLYGON((4.554572374 51.963362996, 4.554442287 51.963341511, 4.554446311 51.963327463, 4.55457908 51.963346469, 4.554572374 51.963362996))"
BH Siciliëboulevard ,"POLYGON((4.58086512 51.979902109, 4.580879872 51.980030145, 4.580851709 51.980030971, 4.580839639 51.979903761, 4.58086512 51.979902109))"
BH Metrostation Nesselande,"POLYGON((4.586150465 51.978928692, 4.586197065 51.978926713, 4.586205099 51.979009853, 4.586156893 51.979011833, 4.586150465 51.978928692))"
BH Prins Alexanderlaan (Oosterflank),"POLYGON((4.553785997 51.946615257, 4.553858416 51.946626003, 4.553832935 51.946677255, 4.553764539 51.946667336, 4.553785997 51.946615257))"
BH Zuidplein (van Swietenlaan),"POLYGON((4.486898791 51.887446403, 4.487007476 51.88741957, 4.487082002 51.887538399, 4.486973318 51.887561399, 4.486898791 51.887446403))"
BH Jan Bijloostraat (Winkelcentrum Lage Land),"POLYGON((4.546373496 51.941819101, 4.546378861 51.941803393, 4.546525041 51.941826542, 4.546518335 51.941840597, 4.546373496 51.941819101))"
BH Shell Hofplein,"POLYGON((4.477700919 51.925702912, 4.477736814 51.925640383, 4.47781626 51.925653538, 4.477910775 51.92567288, 4.477892636 51.925708764, 4.47787954 51.92573662, 4.477700919 51.925702912))"
BH Walenburgerweg,"POLYGON((4.462597471 51.926679994, 4.462657821 51.926703151, 4.462641728 51.926722172, 4.462578696 51.926696534, 4.462597471 51.926679994))"
BH Elandstraat,"POLYGON((4.553889051 51.910838542, 4.553898439 51.91076243, 4.553867594 51.910761603, 4.553859547 51.910836888, 4.553889051 51.910838542))"
BH Ganzerikplein,"POLYGON((4.471636319 51.958930136, 4.47151696 51.95896154, 4.471525007 51.958976416, 4.471651071 51.958944185, 4.471636319 51.958930136))"
BH Argonautenweg,"POLYGON((4.493624252 51.959073902, 4.493598771 51.959049936, 4.493475389 51.959098695, 4.493503552 51.959123488, 4.493624252 51.959073902))"
BH Molenlaan/Grindweg,"POLYGON((4.495714033 51.963265854, 4.495679164 51.963189004, 4.495705986 51.96318322, 4.495742196 51.963261722, 4.495714033 51.963265854))"
BH Beethovensingel,"POLYGON((4.505075733 51.961143406, 4.505203138 51.961137621, 4.505207162 51.961152496, 4.505079757 51.96116076, 4.505075733 51.961143406))"
BH Meijersplein,"POLYGON((4.463081454 51.955643928, 4.463082795 51.95566459, 4.462987577 51.955672029, 4.462984894 51.955648061, 4.463081454 51.955643928))"
BH Metrostation Slinge,"POLYGON((4.477869181 51.874579428, 4.47790405 51.874576944, 4.477874546 51.874472619, 4.477841018 51.874476758, 4.477869181 51.874579428))"
RK Hillevliet,"POLYGON((4.506412089 51.895608783, 4.506475066 51.895576222, 4.506452939 51.895561518, 4.506389963 51.895591977, 4.506412089 51.895608783))"
BH Metrostation Melanchtonweg,"POLYGON((4.4650936 51.948874812, 4.465049344 51.948954993, 4.465006429 51.948946727, 4.465052026 51.948867373, 4.4650936 51.948874812))"
RK Rosestraat,"POLYGON((4.501333384 51.910975873, 4.501244871 51.911018066, 4.501285104 51.911036267, 4.501372276 51.910997383, 4.501333384 51.910975873))"
RK Molenvliet,"POLYGON((4.521210469 51.882699361, 4.521198399 51.882633135, 4.521156825 51.882634791, 4.521164871 51.882702673, 4.521210469 51.882699361))"
RK Groene Hilledijk,"POLYGON((4.504208999 51.882713602, 4.504296171 51.88275996, 4.504324334 51.882739265, 4.504235822 51.882692906, 4.504208999 51.882713602))"
RK Sandelingenplein,"POLYGON((4.506897953 51.88955261, 4.507026699 51.889555093, 4.507025358 51.889571647, 4.506899294 51.889567508, 4.506897953 51.88955261))"
RK Breeweg,"POLYGON((4.514317496 51.890648013, 4.514195455 51.890636426, 4.514202161 51.890613251, 4.514326884 51.890624838, 4.514317496 51.890648013))"
RK Frankendaal,"POLYGON((4.521282752 51.886922591, 4.521250566 51.886935835, 4.521305551 51.886981361, 4.521337738 51.886968945, 4.521282752 51.886922591))"
RK Guido Gezelleweg,"POLYGON((4.523277708 51.874375049, 4.523178466 51.87433779, 4.523198583 51.87431709, 4.523297824 51.874354349, 4.523277708 51.874375049))"
BH Treinst. Lombardijen (Aesopusplaats),"POLYGON((4.529960491 51.880526034, 4.530026206 51.880543419, 4.530120083 51.880434141, 4.53005571 51.880412616, 4.529960491 51.880526034))"
RK Olympiaweg,"POLYGON((4.529220474 51.886466057, 4.529197675 51.886494201, 4.52904613 51.886459435, 4.529062224 51.886431291, 4.529220474 51.886466057))"
RK Stadionlaan,"POLYGON((4.53071321 51.892275978, 4.530738115 51.892283663, 4.530657173 51.892381647, 4.530627598 51.892372041, 4.53071321 51.892275978))"
RK Dwarsdijk,"POLYGON((4.539198151 51.893102335, 4.539152553 51.893020399, 4.539207538 51.893009639, 4.539250454 51.893093231, 4.539198151 51.893102335))"
RK Rosestraat 11C,"POLYGON((4.511433401 51.9029172, 4.511401215 51.902905616, 4.51132209 51.902990016, 4.511356958 51.903002428, 4.511433401 51.9029172))"
RK Metrostation Maashaven (Putselaan),"POLYGON((4.495734562 51.897757829, 4.495758702 51.897833964, 4.495786865 51.897828171, 4.495766748 51.897754519, 4.495734562 51.897757829))"
RK Beijerlandselaan,"POLYGON((4.510562904 51.897456557, 4.510498531 51.897425938, 4.510482437 51.897436696, 4.51054681 51.897468143, 4.510562904 51.897456557))"
RK Strevelsweg,"POLYGON((4.495827362 51.889644042, 4.496058032 51.889649008, 4.496059373 51.889625832, 4.495830044 51.889620866, 4.495827362 51.889644042))"
BH Rhijnauwensingel Oude Watering,"POLYGON((4.569761773 51.892567741, 4.569789936 51.892650506, 4.569753726 51.892678646, 4.569788595 51.892691888, 4.56981944 51.892652161, 4.569793959 51.892563603, 4.569761773 51.892567741))"
BH Metrostation Hoek van Holland,"POLYGON((4.127418311 51.976288468, 4.127354849 51.976257753, 4.127456842 51.976162814, 4.127518038 51.976189341, 4.127418311 51.976288468))"
Hub P+R Capelsebrug,"POLYGON((4.559158494 51.920940512, 4.559295287 51.920986004, 4.559189339 51.921107591, 4.559082051 51.921071197, 4.559165199 51.920974424, 4.559137036 51.920966153, 4.559158494 51.920940512))"
BH Willemsplein,"POLYGON((4.48197859 51.911166892, 4.481867278 51.911127182, 4.481915558 51.91106017, 4.481872642 51.911046933, 4.481810951 51.911139591, 4.481969202 51.911190884, 4.48197859 51.911166892))"
BH Westplein,"POLYGON((4.478583441 51.908869112, 4.478544549 51.908950192, 4.478586123 51.908956811, 4.478622333 51.908874904, 4.478583441 51.908869112))"
BH Kievitslaan,"POLYGON((4.473371908 51.9071615, 4.473267302 51.907304636, 4.47322841 51.907294707, 4.473330334 51.907149089, 4.473371908 51.9071615))"
RK Wilhelminakade,"POLYGON((4.489665786 51.906922798, 4.489798555 51.907001399, 4.489750276 51.90702622, 4.489621529 51.906946792, 4.489665786 51.906922798))"
RK treinstation Lombardijen,"POLYGON((4.531828419 51.880528702, 4.532017519 51.880590336, 4.531981212 51.880629558, 4.531793625 51.880567924, 4.531828419 51.880528702))"
RK Cor Kieboomplein,"POLYGON((4.523395533 51.896956383, 4.523628885 51.896919142, 4.523614133 51.896887695, 4.523376757 51.896926591, 4.523395533 51.896956383))"
BH Herenwaard (thv nr 20),"POLYGON((4.548953239 51.886976881, 4.548821811 51.887034824, 4.548782919 51.887009164, 4.54891703 51.886949566, 4.548953239 51.886976881))"
RK Beverwaardseweg/ Borgharensingel,"POLYGON((4.564590603 51.898795796, 4.564725163 51.898778004, 4.564736148 51.898802574, 4.564597468 51.898818672, 4.564590603 51.898795796))"
RK Persoonsdam,"POLYGON((4.508057399 51.909337642, 4.50808288 51.909314476, 4.507978273 51.909280555, 4.507951451 51.909306203, 4.508057399 51.909337642))"
RK Station Rdam Zuid,"POLYGON((4.509642969 51.905526399, 4.509563843 51.905592591, 4.509494106 51.905590109, 4.509601394 51.905497439, 4.509642969 51.905526399))"
RK Vuurplaat,"POLYGON((4.505761659 51.906490263, 4.505866265 51.906585413, 4.505914545 51.906562246, 4.505801892 51.906467923, 4.505761659 51.906490263))"
RK Metrostation Rijnhaven ,"POLYGON((4.496080188 51.902291798, 4.496164049 51.902284806, 4.496139117 51.902142163, 4.49603939 51.902153351, 4.496080188 51.902291798))"
RK Metrostation Maashaven ,"POLYGON((4.494097412 51.896513092, 4.494238686 51.896463276, 4.494392933 51.896632294, 4.49425166 51.896683888, 4.494097412 51.896513092))"
RK Slaghekstraat - Beijerlandselaan,"POLYGON((4.511300496 51.897623245, 4.511203936 51.89762159, 4.51122003 51.897526421, 4.511319271 51.897533042, 4.511300496 51.897623245))"
RK Groene Hilledijk/Beijerlandselaan,"POLYGON((4.509502659 51.893857798, 4.509448226 51.893867751, 4.509401858 51.893753291, 4.509460323 51.893745826, 4.509502659 51.893857798))"
RK Peellandstraat / Beesdestraat ,"POLYGON((4.567385886 51.888592002, 4.567286197 51.888602549, 4.567223535 51.888571786, 4.567197901 51.888475979, 4.567286197 51.888468068, 4.567385886 51.888592002))"
BH Delftse Poort,"POLYGON((4.472793068 51.924428744, 4.472819063 51.924381719, 4.472845223 51.924387648, 4.472818279 51.92443457, 4.472793068 51.924428744))"
BH Sint Franciscus,"POLYGON((4.460474728 51.942109555, 4.460608838 51.942116169, 4.460604815 51.942152545, 4.46050155 51.942150891, 4.460496186 51.942179, 4.460463999 51.942178174, 4.460474728 51.942109555))"
BH Heemraadsplein,"POLYGON((4.455107036 51.912324613, 4.455097648 51.912339504, 4.455009135 51.912322131, 4.455018523 51.912306413, 4.455107036 51.912324613))"
